Display on Live,Display in Mobile App,Title,Date,Start Time Hour,Start Time Minutes,End Time Hour,End Time Minutes,Session Type,Speaker UUID,Session Summary,Survey Questions,Room,Video URL,Download Label,Download URL,Sponsor UUID,Slides Tactic ID,Audio URL,Enable Ratings,Enable Notes,Custom CSS Class,Filter Categories,Liferay 7?
true,true,Environment Setup for Workshops,2015-11-17,9,40,10,10,blank,,,,Michigan,,,,,,,true,true,,blank,false
true,true,Environment Setup for Workshops,2015-11-16,14,50,15,20,blank,,,,Michigan,,,,,,,true,true,,blank,false
true,true,Environment Setup for Workshops,2015-11-16,14,10,14,40,blank,,,,Michigan,,,,,,,true,true,,blank,false
true,true,Environment Setup for Workshops,2015-11-17,11,50,13,00,blank,,,,Michigan,,,,,,,true,true,,blank,false
true,true,Environment Setup for Workshops,2015-11-15,14,00,16,00,blank,,,,Michigan,,,,,,,true,true,,blank,false
true,true,"Workshop 5 (2 hours): Automating Liferay Deployments ft. Ansible, Docker, Kubernetes and More",2015-11-17,13,00,15,00,blank,8d9452ce-8446-4239-8aff-30183aff7401,"If you have followed DevOps trends, you should be well aware of ""infrastructure as code"". This workshop will teach you how to apply it to Liferay and how to automate deployments in different scenarios. It will start by provisioning a Liferay cluster on a traditional ""before cloud"" / ""bare metal"" infrastructure and then move to building and orchestrating containers.",,Indiana,,,,,,,true,true,,Developing with Liferay,false
true,true,Building Themes for Liferay 7,2015-11-16,9,40,10,10,blank,f598d5b0-a271-4f8a-933f-b873605f9b1b,"Traditionally, the process of developing themes in Liferay has been geared towards a very Java-centric environment. More and more, this workflow doesn't make sense for modern front end developers, so we've built some tools to help make the experience much nicer. In this talk, we'll go over the new tools, how they can speed up your workflow, help you upgrade your theme, and even cover a new concept we're calling ""themelets"".",,Michigan,,,/documents/47511614/63717903/Building+Themes+in+Liferay+7+-+Robert+Frampton.pdf/4416f815-fcc4-4325-88d5-037eea7f808d,,63948177,/documents/47511614/63887359/Building+Themes+for+Liferay+7_Rob+Frampton.mp3/4ac83df8-08bd-432a-a497-b6f6993cab09,true,true,,Customizing Liferay,true
true,true,Environment Setup for Workshops,2015-11-17,9,00,9,30,blank,,,,Michigan,,,,,,,true,true,,blank,false
true,true,Beyond Channels: Setting Up Liferay for Omni-Present Engagement,2015-11-16,14,10,14,40,blank,79faaff8-70fb-41bc-839a-caf2ce61fa45,"Owing to the rise of mobile, hyper-connected customers, and the modern expectations of today's developer and devops teams, portal platforms must go way beyond traditional integration and personalization in order to succeed. Customers, employees, and citizens expect a seamless experience throughout their relationship with you no matter how they interact: from social media, multiple web properties and mobile apps, or when they walk into your store. Your portal platform must be able to unify those increasingly complex interactions across sites and apps while providing your developers a modern and flexible way to develop custom services and apps on top.

In this session, you will learn how Liferay is designed to power these multi-channel, multi-site, and multi-touchpoint engagement initiatives. We'll demonstrate how Liferay features like content scoping, custom user profiles, site templates, dynamic themes, and reusable backend web services are effectively combined to produce modernized user experiences that meet the needs of your business and will make your developers and business users smile!",,Lincolnshire,,,/documents/14/64021955/LRNAS+-+2015+-+Omnipresent+-+James+Falkner+%281%29.pdf/b5ca9a87-8b46-4b10-b4fe-bc46d334f735,,64283633,/documents/47511614/63887359/Beyond+Channels+Setting+Up+Liferay+for+Omni-Present+Engagement_James+Falkner.mp3/c5e7b672-5876-4812-a10a-4b1aeccceeed,true,true,,Digital Marketing & Web Experiences,false
true,true,The Developer’s Dream: Maintainable and Dynamic Extensions in Liferay 7,2015-11-16,10,20,10,50,blank,7dadeb10-733e-42a5-9632-cfab070c74bb,Using features of OSGi we can build maintainable and simple extensions that collaborate to comprise more complex features. We'll discuss the particular aspects of OSGi that were used to bring the fun back into developing Liferay extensions,,Denver,,,/documents/14/64021955/The+developer%27s+dream+-+NAS.pdf/0ecab0dc-0ff9-4d76-b96a-e88c413d2372,,64286679,/documents/47511614/63887359/The+Developer%E2%80%99s+Dream-+Maintainable+and+Dynamic+Extensions+in+Liferay+7_Ray+Auge.mp3/6b0b41cb-d1b0-448f-ade6-22473d665aed,true,true,,"Developing with Liferay, Liferay New Products & Features",true
